time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:21.0,5.0012,0.1445,0.7226,3.105,0.006,0.0047,28.4,4.9978,0.1793,0.8962,3.056,0.027,,
00:21.1,5.0017,0.1446,0.7235,3.274,0.015,,,4.9983,0.1443,0.7212,3.048,0.028,,
00:21.2,5.0021,0.1447,0.7238,3.03,2.651,,,5.0011,0.1438,0.7193,3.051,0.01,,
00:21.3,5.0025,0.1448,0.7241,3.068,0.002,,,5.0014,0.144,0.7204,3.058,0.003,0.0109,28
00:21.4,5.0028,0.1448,0.7246,3.05,0.204,,,5.0019,0.1445,0.7225,3.053,0.003,,
00:21.5,5.0023,0.1485,0.7428,3.057,0.002,,,5.0021,0.1445,0.7226,3.053,0.019,,
00:21.6,5.0003,0.1757,0.8784,3.078,0.001,,,5.0027,0.1446,0.7235,3.051,0.021,,
00:21.7,4.999,0.1772,0.8861,3.022,0.006,,,5.0029,0.1447,0.7238,3.065,0.005,,
00:21.8,4.9983,0.1781,0.8904,3.072,0.015,,,5.0031,0.1252,0.6261,2.374,2.411,,
00:21.9,4.9978,0.1787,0.893,3.043,0.386,,,5.0034,0.1263,0.632,3.043,0.006,,
00:22.0,4.9975,0.1789,0.8943,3.065,0.245,0.0049,27.4,5.0144,0.0168,0.0841,3.024,0.031,,
00:22.1,4.9972,0.1792,0.8954,3.068,0.001,,,5.0168,0.016,0.0803,3.047,0.557,,
00:22.2,4.9971,0.1793,0.8959,0.704,0.655,,,5.0212,0.0146,0.0731,3.035,0.01,,
00:22.3,4.997,0.1794,0.8963,2.504,0.002,,,5.022,0.0143,0.0717,3.041,0.007,0.0111,27.1
00:22.4,4.997,0.1794,0.8965,3.096,0.015,,,5.0236,0.0138,0.0692,3.035,0.003,,
00:22.5,4.9968,0.1795,0.8967,3.048,0.007,,,5.0241,0.0137,0.0687,2.952,0.037,,
00:22.6,4.9967,0.1795,0.897,3.06,0.019,,,5.0245,0.0135,0.0677,0.607,1.837,,
00:22.7,4.9967,0.1795,0.8971,3.071,0.647,,,5.0245,0.0135,0.0676,2.499,0.025,,
00:22.8,4.9988,0.1429,0.7141,3.222,3.096,,,5.0248,0.0134,0.0674,2.952,0.021,,
00:22.9,5.0003,0.1438,0.7188,0.625,0.002,,,5.025,0.0134,0.0674,2.986,0.01,,
00:23.0,5.0012,0.1442,0.7213,3.062,0.089,0.0051,27.9,5.0253,0.0134,0.0674,3.072,0.006,,
00:23.1,5.0018,0.1445,0.7229,3.032,0.008,,,5.0255,0.0134,0.0674,3.046,0.027,,
