time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
08:28.5,5.0242,0.0132,0.0664,3.178,0.007,,,5.0242,0.0132,0.0665,3.069,0.018,0.0429,26.1
08:28.6,5.0243,0.0132,0.0664,2.795,0.007,,,5.0241,0.0132,0.0664,3.03,0.009,,
08:28.7,5.0242,0.0132,0.0664,2.651,0.003,,,5.0242,0.0132,0.0664,3.072,0.006,,
08:28.8,5.0242,0.0132,0.0665,3.271,0.034,,,5.0241,0.0132,0.0665,3.04,0.007,,
08:28.9,5.0242,0.0132,0.0665,0.667,2.117,,,5.0242,0.0132,0.0664,3.043,0.603,,
08:29.0,5.0242,0.0133,0.0667,2.459,0.009,0.0322,27.7,5.0242,0.0132,0.0664,2.633,0.011,,
08:29.1,5.0241,0.0132,0.0665,3.048,0.016,,,5.0242,0.0132,0.0664,3.047,0.006,,
08:29.2,5.0242,0.0132,0.0664,3.038,0.868,,,5.0242,0.0132,0.0664,3.047,0.014,,
08:29.3,5.0241,0.0132,0.0664,3.049,0.008,,,5.0243,0.0132,0.0664,3.041,0.003,,
08:29.4,5.0242,0.0132,0.0664,2.896,0.006,,,5.0242,0.0132,0.0664,3.055,0.07,,
08:29.5,5.0242,0.0132,0.0666,3.034,0.006,,,5.0242,0.0132,0.0664,3.077,0.007,0.0429,28
08:29.6,5.0243,0.0132,0.0665,3.13,0.034,,,5.0242,0.0132,0.0664,3.037,1.698,,
08:29.7,5.0244,0.0132,0.0665,3.046,0.039,,,5.0242,0.0132,0.0664,3.046,2.705,,
08:29.8,5.0245,0.0132,0.0665,3.055,0.017,,,5.0242,0.0132,0.0664,3.163,0.019,,
08:29.9,5.0245,0.0132,0.0665,3.036,0.011,,,5.0242,0.0132,0.0664,3.048,0.006,,
08:30.0,5.0245,0.0133,0.0666,2.63,0.015,0.0322,26.8,5.0242,0.0132,0.0664,3.037,0.008,,
08:30.1,5.0245,0.0132,0.0665,2.679,0.006,,,5.0242,0.0132,0.0664,3.027,0.012,,
08:30.2,5.0245,0.0132,0.0665,3.097,0.005,,,5.0242,0.0132,0.0664,3.039,0.003,,
08:30.3,5.0244,0.0132,0.0664,2.485,0.667,,,5.0242,0.0132,0.0664,2.477,0.009,,
08:30.4,5.0242,0.0132,0.0664,3.059,0.005,,,5.0241,0.0132,0.0664,3.043,2.812,,
08:30.5,5.0242,0.0132,0.0665,3.189,2.367,,,5.0242,0.0132,0.0664,3.04,0.256,0.0429,27
08:30.6,5.0242,0.0132,0.0664,3.049,0.018,,,5.0241,0.0132,0.0665,3.049,0.007,,
08:30.7,5.0243,0.0132,0.0664,3.041,0.015,,,5.0242,0.0132,0.0665,2.434,0.38,,
08:30.8,5.0243,0.0132,0.0664,3.04,0.29,,,5.0241,0.0132,0.0664,3.052,0.008,,
08:30.9,5.0244,0.0132,0.0664,3.042,0.006,,,5.0241,0.0132,0.0664,3.03,0.013,,
08:31.0,5.0245,0.0132,0.0664,3.041,0.004,0.0322,27.9,5.0242,0.0132,0.0665,3.283,0.02,,
08:31.1,5.0245,0.0132,0.0665,2.693,0.013,,,5.0242,0.0132,0.0664,2.993,0.023,,
08:31.2,5.0245,0.0132,0.0665,0.838,0.007,,,5.0241,0.0132,0.0664,3.05,0.008,,
08:31.3,5.0244,0.0132,0.0664,3.049,1.569,,,5.0242,0.0132,0.0664,3.039,0.042,,
08:31.4,5.0242,0.0132,0.0664,3.027,0.011,,,5.0242,0.0132,0.0664,1.28,0.01,,
08:31.5,5.0242,0.0132,0.0664,3.044,0.011,,,5.0241,0.0132,0.0664,3.18,0.008,0.043,27.4
08:31.6,5.0242,0.0132,0.0665,3.274,0.641,,,5.0242,0.0132,0.0664,3.028,0.019,,
08:31.7,5.0242,0.0132,0.0664,3.042,0.015,,,5.0242,0.0132,0.0664,3.029,0.009,,
08:31.8,5.0242,0.0132,0.0664,3.061,0.004,,,5.0241,0.0132,0.0664,0.317,0.016,,
08:31.9,5.0242,0.0132,0.0665,2.734,0.013,,,5.0241,0.0132,0.0664,0.691,0.039,,
08:32.0,5.0241,0.0132,0.0665,3.039,0.032,0.0322,27.1,5.0242,0.0132,0.0664,3.054,0.021,,
08:32.1,5.0242,0.0132,0.0665,3.017,0.665,,,5.0242,0.0132,0.0665,3.211,0.009,,
08:32.2,5.0243,0.0132,0.0665,2.473,0.036,,,5.0242,0.0132,0.0664,3.06,0.011,,
08:32.3,5.0243,0.0132,0.0665,3.048,0.003,,,5.0242,0.0132,0.0664,3.037,0.007,,
08:32.4,5.0243,0.0132,0.0664,3.043,0.045,,,5.0242,0.0132,0.0664,3.194,0.008,,
08:32.5,5.0243,0.0132,0.0664,3.035,0.004,,,5.0242,0.0132,0.0664,3.039,0.007,0.043,27.2
08:32.6,5.0242,0.0132,0.0664,3.043,0.004,,,5.0241,0.0132,0.0665,3.04,0.007,,
08:32.7,5.0242,0.0132,0.0665,2.457,0.029,,,5.0242,0.0132,0.0664,3.007,0.002,,
08:32.8,5.0243,0.0132,0.0664,3.033,2.027,,,5.0243,0.0132,0.0664,2.752,0.012,,
08:32.9,5.0242,0.0132,0.0664,3.021,2.339,,,5.0242,0.0132,0.0665,2.361,0.013,,
08:33.0,5.0242,0.0132,0.0664,3.038,0.032,0.0322,27.1,5.0242,0.0132,0.0665,3.061,0.006,,
08:33.1,5.0242,0.0132,0.0664,3.027,0.005,,,5.0241,0.0132,0.0664,3.046,0.007,,
08:33.2,5.0241,0.0132,0.0664,3.027,0.003,,,5.0242,0.0132,0.0664,2.792,0.034,,
08:33.3,5.0242,0.0132,0.0664,3.061,2.409,,,5.0242,0.0132,0.0664,1.721,0.019,,
08:33.4,5.0243,0.0132,0.0665,0.998,0.01,,,5.0242,0.0132,0.0664,3.019,0.007,,
08:33.5,5.0243,0.0132,0.0665,2.476,0.011,,,5.0242,0.0132,0.0664,3.036,0.007,0.043,27.3
08:33.6,5.0243,0.0132,0.0664,3.038,0.049,,,5.0241,0.0132,0.0664,3.04,0.037,,
08:33.7,5.0242,0.0132,0.0665,3.084,0.006,,,5.0241,0.0132,0.0664,0.608,0.014,,
08:33.8,5.0242,0.0132,0.0665,3.031,0.005,,,5.0241,0.0132,0.0665,3.056,0.028,,
08:33.9,5.0242,0.0132,0.0665,3.04,0.005,,,5.0242,0.0132,0.0664,3.048,0.006,,
08:34.0,5.0242,0.0132,0.0665,3.057,0.025,0.0323,27,5.0242,0.0132,0.0664,3.037,0.008,,
08:34.1,5.0242,0.0132,0.0664,1.713,0.005,,,5.0242,0.0132,0.0664,0.521,0.009,,
08:34.2,5.0242,0.0132,0.0665,3.049,0.026,,,5.0242,0.0132,0.0664,3.032,0.023,,
08:34.3,5.0241,0.0133,0.0666,3.104,0.016,,,5.0242,0.0132,0.0665,3.045,0.007,,
08:34.4,5.0242,0.0133,0.0666,3.038,0.011,,,5.0242,0.0132,0.0664,3.043,0.015,,
08:34.5,5.0243,0.0132,0.0666,3.052,1.053,,,5.0241,0.0132,0.0664,3.046,0.012,0.043,27.3
08:34.6,5.0243,0.0132,0.0665,3.047,2.42,,,5.0242,0.0132,0.0664,2.457,0.009,,
08:34.7,5.0241,0.0132,0.0664,3.052,2.425,,,5.0242,0.0132,0.0664,2.089,0.026,,
08:34.8,5.0241,0.0132,0.0664,1.424,0.011,,,5.0242,0.0132,0.0665,3.04,0.008,,
08:34.9,5.0242,0.0132,0.0664,3.089,0.005,,,5.0242,0.0132,0.0664,3.037,0.007,,
08:35.0,5.0242,0.0132,0.0664,3.042,0.016,0.0323,27.5,5.0241,0.0132,0.0664,3.257,0.009,,
08:35.1,5.0242,0.0132,0.0664,3.056,0.004,,,5.0242,0.0132,0.0664,3.048,0.009,,
08:35.2,5.0242,0.0132,0.0664,3.156,0.005,,,5.0242,0.0132,0.0664,3.043,0.01,,
08:35.3,5.0241,0.0132,0.0664,3.045,0.022,,,5.0242,0.0132,0.0665,3.044,3.186,,
08:35.4,5.0242,0.0132,0.0664,3.168,0.022,,,5.0242,0.0132,0.0664,3.054,0.027,,
08:35.5,5.0242,0.0132,0.0664,3.051,0.016,,,5.0241,0.0132,0.0664,3.171,0.022,0.043,27.7
08:35.6,5.0241,0.0132,0.0664,0.016,3.197,,,5.0242,0.0132,0.0664,3.026,0.006,,
08:35.7,5.0242,0.0132,0.0665,3.157,0.005,,,5.0241,0.0132,0.0664,3.043,0.006,,
08:35.8,5.0242,0.0132,0.0664,3.028,0.049,,,5.0242,0.0132,0.0664,0.359,0.009,,
08:35.9,5.0241,0.0132,0.0664,3.024,0.008,,,5.0242,0.0132,0.0664,3.04,0.007,,
08:36.0,5.0242,0.0132,0.0664,2.97,0.004,0.0323,27.6,5.0242,0.0132,0.0665,3.043,0.01,,
08:36.1,5.0242,0.0132,0.0665,3.036,0.005,,,5.0241,0.0132,0.0664,3.03,0.004,,
08:36.2,5.0241,0.0132,0.0665,3.044,0.011,,,5.0241,0.0132,0.0664,3.035,0.015,,
08:36.3,5.0241,0.0132,0.0664,3.055,0.009,,,5.0242,0.0132,0.0664,3.053,0.009,,
08:36.4,5.0241,0.0132,0.0664,3.045,0.013,,,5.0242,0.0132,0.0664,3.259,0.011,,
08:36.5,5.0241,0.0132,0.0664,0.032,0.005,,,5.0242,0.0132,0.0664,3.056,0.016,0.043,27.1
08:36.6,5.0241,0.0132,0.0664,3.066,0.006,,,5.0242,0.0132,0.0664,3.032,0.003,,
08:36.7,5.0242,0.0132,0.0664,3.036,0.007,,,5.0242,0.0132,0.0664,3.047,0.015,,
08:36.8,5.0242,0.0132,0.0664,3.231,0.006,,,5.0242,0.0132,0.0664,3.043,0.014,,
08:36.9,5.0242,0.0132,0.0664,3.051,0.005,,,5.0242,0.0132,0.0664,3.065,0.014,,
08:37.0,5.0242,0.0132,0.0664,3.048,0.005,0.0323,26.5,5.0242,0.0132,0.0664,3.047,0.914,,
08:37.1,5.0242,0.0132,0.0664,3.062,0.044,,,5.0242,0.0132,0.0664,3.051,0.016,,
08:37.2,5.0241,0.0132,0.0664,3.045,0.012,,,5.0242,0.0132,0.0664,1.791,0.008,,
08:37.3,5.0242,0.0132,0.0664,0.126,0.005,,,5.0242,0.0132,0.0664,3.074,3.261,,
08:37.4,5.0242,0.0132,0.0664,3.026,0.039,,,5.0242,0.0132,0.0664,3.052,0.003,,
08:37.5,5.0241,0.0132,0.0664,3.049,0.006,,,5.0242,0.0132,0.0664,0.122,0.007,0.0431,26.9
08:37.6,5.0242,0.0132,0.0664,2.617,0.007,,,5.0241,0.0132,0.0665,3.048,0.037,,
08:37.7,5.0242,0.0132,0.0664,3.044,0.011,,,5.0242,0.0132,0.0664,3.264,0.016,,
08:37.8,5.0242,0.0132,0.0664,3.034,0.05,,,5.0241,0.0132,0.0664,3.061,0.012,,
08:37.9,5.0242,0.0132,0.0665,3.07,0.023,,,5.0242,0.0132,0.0664,3.031,0.003,,
08:38.0,5.0242,0.0132,0.0664,3.051,0.006,0.0323,28.1,5.0242,0.0132,0.0664,3.264,0.009,,
08:38.1,5.0242,0.0132,0.0664,0.591,2.586,,,5.0242,0.0132,0.0664,0.262,0.007,,
08:38.2,5.0242,0.0132,0.0664,3.06,0.003,,,5.0242,0.0132,0.0664,3.049,0.005,,
08:38.3,5.0241,0.0132,0.0664,3.033,0.005,,,5.0241,0.0132,0.0664,3.046,0.023,,
08:38.4,5.0242,0.0132,0.0665,3.04,0.011,,,5.0241,0.0132,0.0664,3.053,0.51,,
08:38.5,5.0242,0.0132,0.0664,3.035,0.009,,,5.0242,0.0132,0.0664,3.049,0.012,0.0431,26.3
08:38.6,5.0242,0.0132,0.0664,3.039,1.59,,,5.0242,0.0132,0.0665,3.052,0.016,,
08:38.7,5.0242,0.0133,0.0666,3.078,2,,,5.0242,0.0132,0.0665,3.024,0.003,,
08:38.8,5.0242,0.0133,0.0666,2.92,0.452,,,5.0241,0.0132,0.0664,3.062,0.005,,
08:38.9,5.0242,0.0132,0.0665,2.624,0.006,,,5.0241,0.0132,0.0665,3.024,1.809,,
08:39.0,5.0242,0.0132,0.0665,3.038,0.003,0.0323,27.1,5.0241,0.0132,0.0664,2.461,0.011,,
08:39.1,5.0241,0.0132,0.0664,3.019,0.005,,,5.0242,0.0132,0.0664,3.02,0.015,,
08:39.2,5.0242,0.0132,0.0664,3.043,0.007,,,5.0242,0.0132,0.0664,3.046,0.606,,
08:39.3,5.0242,0.0132,0.0665,3.183,0.011,,,5.0242,0.0132,0.0664,1.031,0.005,,
08:39.4,5.0242,0.0132,0.0664,3.055,0.014,,,5.0242,0.0132,0.0664,3.041,0.023,,
08:39.5,5.0242,0.0132,0.0664,3.035,0.014,,,5.0242,0.0132,0.0665,3.044,0.112,0.0431,26.6
08:39.6,5.0242,0.0132,0.0664,3.077,0.302,,,5.0242,0.0132,0.0664,3.01,0.006,,
08:39.7,5.0242,0.0132,0.0665,3.037,0.008,,,5.0242,0.0132,0.0665,3.071,0.006,,
08:39.8,5.0242,0.0132,0.0664,0.721,0.005,,,5.0242,0.0132,0.0664,2.875,0.088,,
08:39.9,5.0242,0.0132,0.0665,3.039,0.012,,,5.024,0.0132,0.0664,3.026,0.007,,
08:40.0,5.0241,0.0132,0.0665,3.046,2.725,0.0324,27.9,5.0241,0.0132,0.0664,3.049,0.561,,
08:40.1,5.0242,0.0132,0.0665,3.052,0.008,,,5.0242,0.0132,0.0664,3.026,0.008,,
08:40.2,5.0242,0.0132,0.0664,3.059,1.468,,,5.0242,0.0132,0.0664,3.028,0.465,,
08:40.3,5.0241,0.0132,0.0664,3.047,3.114,,,5.0242,0.0132,0.0664,3.045,0.006,,
08:40.4,5.0242,0.0132,0.0664,3.218,0.207,,,5.0242,0.0132,0.0664,0.722,0.006,,
08:40.5,5.0241,0.0132,0.0664,3.011,0.034,,,5.0242,0.0132,0.0665,3.041,0.012,0.0431,27.6
08:40.6,5.0242,0.0132,0.0664,3.033,0.008,,,5.0242,0.0132,0.0664,2.459,0.034,,
08:40.7,5.0242,0.0132,0.0664,3.039,3.032,,,5.0242,0.0132,0.0664,3.006,0.008,,
08:40.8,5.0241,0.0132,0.0665,2.712,0.006,,,5.0242,0.0132,0.0664,3.041,0.003,,
08:40.9,5.0242,0.0132,0.0664,3.038,0.008,,,5.0242,0.0132,0.0664,3.039,0.072,,
08:41.0,5.0242,0.0132,0.0664,3.044,0.004,0.0324,27.6,5.0242,0.0132,0.0664,3.046,0.006,,
08:41.1,5.0242,0.0132,0.0664,0.235,0.04,,,5.0242,0.0132,0.0664,3.046,0.004,,
08:41.2,5.0242,0.0132,0.0664,1.243,0.008,,,5.0242,0.0132,0.0664,3.072,0.021,,
08:41.3,5.0241,0.0132,0.0664,3.042,0.009,,,5.0242,0.0132,0.0665,3.058,0.006,,
08:41.4,5.0241,0.0132,0.0665,3.065,0.007,,,5.0242,0.0132,0.0664,3.035,0.007,,
08:41.5,5.0242,0.0132,0.0664,3.042,0.78,,,5.0242,0.0132,0.0664,3.027,0.005,0.0431,27.7
08:41.6,5.0242,0.0132,0.0664,3.047,0.02,,,5.0242,0.0132,0.0664,3.279,0.016,,
08:41.7,5.0242,0.0132,0.0665,3.05,1.583,,,5.0241,0.0132,0.0664,2.918,0.014,,
08:41.8,5.0242,0.0132,0.0664,3.049,0.025,,,5.0242,0.0132,0.0664,3.03,0.011,,
08:41.9,5.0242,0.0132,0.0664,3.057,0.009,,,5.0241,0.0132,0.0664,3.049,0.124,,
08:42.0,5.0242,0.0132,0.0664,0.779,0.533,0.0324,26.8,5.0242,0.0132,0.0664,2.748,0.011,,
08:42.1,5.0242,0.0132,0.0664,3.049,0.012,,,5.0242,0.0132,0.0664,3.035,0.005,,
08:42.2,5.0243,0.0132,0.0665,2.668,0.005,,,5.0241,0.0132,0.0664,3.04,3.288,,
08:42.3,5.0243,0.0132,0.0664,3.053,0.01,,,5.0242,0.0132,0.0664,3.296,0.017,,
08:42.4,5.0243,0.0132,0.0664,3.051,0.576,,,5.0242,0.0132,0.0665,3.016,0.008,,
08:42.5,5.0243,0.0132,0.0664,3.044,0.035,,,5.0242,0.0132,0.0665,3.041,0.005,0.0432,27.2
08:42.6,5.0245,0.0132,0.0664,3.052,0.004,,,5.0242,0.0132,0.0665,1.033,0.016,,
08:42.7,5.0245,0.0132,0.0664,0.232,0.009,,,5.0242,0.0132,0.0665,3.051,0.213,,
08:42.8,5.0244,0.0132,0.0664,3.027,0.007,,,5.0242,0.0132,0.0665,3.052,0.003,,
08:42.9,5.0243,0.0132,0.0664,3.03,0.009,,,5.0241,0.0132,0.0664,3.066,0.005,,
08:43.0,5.0242,0.0132,0.0665,3.062,0.016,0.0324,27.4,5.0241,0.0132,0.0664,0.696,0.014,,
08:43.1,5.0242,0.0132,0.0664,3.062,0.016,,,5.0242,0.0132,0.0664,3.094,0.014,,
08:43.2,5.0242,0.0132,0.0664,3.088,0.007,,,5.0241,0.0132,0.0665,3.033,0.014,,
08:43.3,5.0242,0.0132,0.0664,3.049,0.007,,,5.0242,0.0132,0.0665,3.043,0.005,,
08:43.4,5.0242,0.0132,0.0664,3.057,0.012,,,5.0242,0.0132,0.0665,3.103,0.014,,
08:43.5,5.0243,0.0132,0.0664,3.034,0.007,,,5.0242,0.0132,0.0664,3.046,0.018,0.0432,26.8
08:43.6,5.0242,0.0132,0.0664,2.981,0.006,,,5.0241,0.0132,0.0664,3.05,0.026,,
08:43.7,5.0242,0.0132,0.0664,3.038,0.01,,,5.0242,0.0132,0.0664,3.059,0.004,,
08:43.8,5.0242,0.0132,0.0664,3.085,0.005,,,5.0241,0.0132,0.0664,3.049,0.202,,
08:43.9,5.0242,0.0132,0.0664,0.022,0.024,,,5.0242,0.0132,0.0664,2.456,0.006,,
08:44.0,5.0241,0.0132,0.0665,3.035,0.592,0.0324,27.5,5.0242,0.0132,0.0665,3.027,0.005,,
08:44.1,5.0241,0.0132,0.0665,3.016,0.012,,,5.0241,0.0132,0.0664,3.039,0.005,,
08:44.2,5.0241,0.0132,0.0664,3.033,0.013,,,5.0242,0.0132,0.0664,3.172,0.011,,
08:44.3,5.0242,0.0132,0.0664,3.043,0.026,,,5.0242,0.0132,0.0664,3.036,2.589,,
08:44.4,5.0242,0.0132,0.0665,3.014,0.008,,,5.0241,0.0132,0.0665,3.054,0.025,,
08:44.5,5.0242,0.0132,0.0664,3.049,3.263,,,5.0242,0.0132,0.0664,3.027,0.004,0.0432,27.5
08:44.6,5.0243,0.0132,0.0664,3.061,0.006,,,5.0242,0.0132,0.0664,3.018,2.322,,
08:44.7,5.0243,0.0132,0.0665,3,3.308,,,5.0242,0.0132,0.0664,2.896,0.015,,
08:44.8,5.0245,0.0132,0.0665,3.034,0.012,,,5.0242,0.0132,0.0664,3.032,0.003,,
08:44.9,5.0243,0.0132,0.0664,3.04,0.013,,,5.0241,0.0132,0.0664,3.067,0.016,,
08:45.0,5.0242,0.0132,0.0664,3.039,0.038,0.0325,27.7,5.0242,0.0132,0.0664,1.964,0.006,,
08:45.1,5.0243,0.0132,0.0664,3.035,0.015,,,5.0241,0.0132,0.0664,2.85,0.005,,
08:45.2,5.0243,0.0132,0.0664,3.272,0.13,,,5.0241,0.0132,0.0665,3.053,0.003,,
08:45.3,5.0242,0.0132,0.0664,0.233,0.01,,,5.0242,0.0132,0.0665,0.731,0.004,,
08:45.4,5.0242,0.0132,0.0664,2.458,0.007,,,5.0242,0.0132,0.0664,3.054,1.804,,
08:45.5,5.0242,0.0132,0.0665,2.531,0.004,,,5.0241,0.0132,0.0664,2.464,0.012,0.0432,27.9
08:45.6,5.0242,0.0132,0.0665,2.984,0.011,,,5.0242,0.0132,0.0664,3.035,0.008,,
08:45.7,5.0242,0.0132,0.0664,2.932,0.012,,,5.0242,0.0132,0.0665,3.023,0.005,,
08:45.8,5.0241,0.0132,0.0665,3.039,0.014,,,5.0242,0.0132,0.0665,0.858,0.089,,
08:45.9,5.0242,0.0132,0.0664,3.047,0.017,,,5.0242,0.0132,0.0665,3.063,0.004,,
08:46.0,5.0242,0.0132,0.0664,3.038,0.017,0.0325,27.2,5.0242,0.0132,0.0664,3.024,0.004,,
08:46.1,5.0243,0.0132,0.0666,3.056,0.018,,,5.0242,0.0132,0.0664,3.034,0.004,,
08:46.2,5.0242,0.0132,0.0664,1.502,0.008,,,5.0242,0.0132,0.0664,3.113,0.005,,
08:46.3,5.0242,0.0132,0.0664,3.03,0.004,,,5.0241,0.0132,0.0664,3.062,0.004,,
08:46.4,5.0241,0.0132,0.0664,3.034,0.005,,,5.0242,0.0132,0.0665,3.09,0.005,,
08:46.5,5.0241,0.0132,0.0664,2.226,0.011,,,5.0242,0.0132,0.0664,3.046,0.006,0.0432,26.9
08:46.6,5.0241,0.0132,0.0665,0.866,2.529,,,5.0241,0.0132,0.0665,3.242,0.006,,
08:46.7,5.0242,0.0132,0.0665,3.053,0.005,,,5.0242,0.0132,0.0665,3.156,0.005,,
08:46.8,5.0242,0.0132,0.0664,3.044,0.006,,,5.0242,0.0132,0.0664,3.064,0.023,,
08:46.9,5.0242,0.0132,0.0666,0.807,0.023,,,5.0243,0.0132,0.0664,3.03,0.004,,
08:47.0,5.0243,0.0132,0.0664,3.079,0.008,0.0325,27.7,5.0241,0.0132,0.0664,3.062,0.007,,
08:47.1,5.0242,0.0132,0.0665,3.057,0.004,,,5.0242,0.0132,0.0664,3.037,0.004,,
08:47.2,5.0242,0.0132,0.0664,3.039,2.552,,,5.0241,0.0132,0.0664,3.036,0.005,,
08:47.3,5.0243,0.0132,0.0664,2.926,0.012,,,5.0241,0.0132,0.0664,3.037,0.018,,
08:47.4,5.0244,0.0132,0.0665,3.253,0.007,,,5.0241,0.0132,0.0664,0.913,0.095,,
08:47.5,5.0243,0.0132,0.0665,3.054,0.016,,,5.0241,0.0132,0.0664,3.044,0.017,0.0432,27.3
08:47.6,5.0243,0.0132,0.0664,3.051,0.004,,,5.0241,0.0132,0.0664,3.087,0.047,,
08:47.7,5.0243,0.0132,0.0664,3.042,0.002,,,5.0241,0.0132,0.0664,3.075,0.036,,
08:47.8,5.0242,0.0132,0.0665,2.94,0.017,,,5.0242,0.0132,0.0664,3.019,0.005,,
08:47.9,5.0242,0.0133,0.0666,3.045,0.004,,,5.0242,0.0132,0.0664,1.538,0.006,,
08:48.0,5.0243,0.0132,0.0664,3.05,0.007,0.0325,28.6,5.0242,0.0132,0.0664,3.035,0.01,,
08:48.1,5.0244,0.0132,0.0665,3.045,0.627,,,5.0242,0.0132,0.0665,0.62,0.019,,
08:48.2,5.0243,0.0132,0.0664,1.547,0.011,,,5.0241,0.0132,0.0664,3.265,0.014,,
08:48.3,5.0243,0.0132,0.0664,3.042,0.016,,,5.0242,0.0132,0.0664,3.051,0.016,,
08:48.4,5.0241,0.0132,0.0664,3.041,0.005,,,5.0242,0.0132,0.0665,3.052,0.003,,
08:48.5,5.0242,0.0132,0.0664,3.045,2.649,,,5.0241,0.0132,0.0664,3.042,0.013,0.0433,26.8
08:48.6,5.0241,0.0132,0.0664,3.071,0.009,,,5.0241,0.0132,0.0664,2.999,0.01,,
08:48.7,5.0241,0.0132,0.0664,2.679,0.009,,,5.0241,0.0132,0.0664,0.333,0.011,,
08:48.8,5.0242,0.0132,0.0664,3.046,0.004,,,5.0242,0.0132,0.0665,3.038,0.615,,
08:48.9,5.0243,0.0132,0.0664,0.699,0.62,,,5.0242,0.0133,0.0666,3.061,0.016,,
08:49.0,5.0244,0.0132,0.0664,0.633,0.039,0.0325,27.8,5.0242,0.0132,0.0664,3.103,0.56,,
08:49.1,5.0243,0.0132,0.0664,3.1,0.016,,,5.0242,0.0132,0.0664,3.035,0.005,,
08:49.2,5.0241,0.0132,0.0664,1.274,0.011,,,5.0241,0.0132,0.0664,3.051,0.015,,
08:49.3,5.0241,0.0132,0.0664,3.047,0.006,,,5.0242,0.0132,0.0664,0.907,0.015,,
08:49.4,5.0242,0.0132,0.0664,3.063,0.66,,,5.0242,0.0132,0.0665,3.009,0.664,,
08:49.5,5.0241,0.0132,0.0664,2.828,0.01,,,5.0242,0.0132,0.0664,3.063,0.223,0.0433,27.5
08:49.6,5.0242,0.0132,0.0664,3.039,0.008,,,5.0242,0.0132,0.0665,3.041,0.007,,
08:49.7,5.0242,0.0132,0.0665,3.04,0.009,,,5.0242,0.0132,0.0664,0.128,0.024,,
08:49.8,5.0242,0.0132,0.0664,2.957,0.02,,,5.0241,0.0132,0.0664,3.051,0.006,,
08:49.9,5.0242,0.0132,0.0664,2.976,0.012,,,5.0241,0.0132,0.0664,2.937,0.029,,
08:50.0,5.0242,0.0132,0.0664,3.041,0.009,0.0326,27.6,5.0241,0.0133,0.0666,3.063,0.019,,
08:50.1,5.0242,0.0132,0.0664,3.006,0.008,,,5.0241,0.0132,0.0665,2.982,0.005,,
08:50.2,5.0242,0.0132,0.0664,3.028,0.008,,,5.0242,0.0132,0.0665,2.084,0.009,,
08:50.3,5.0242,0.0132,0.0665,0.269,0.027,,,5.0242,0.0132,0.0664,3.032,0.009,,
08:50.4,5.0241,0.0132,0.0664,3.019,0.008,,,5.0242,0.0132,0.0664,3.021,0.008,,
08:50.5,5.0241,0.0132,0.0665,3.047,0.01,,,5.0241,0.0132,0.0664,0.846,0.005,0.0433,27.4
08:50.6,5.0242,0.0132,0.0664,0.738,0.582,,,5.0242,0.0132,0.0665,3.061,0.201,,
08:50.7,5.0241,0.0132,0.0664,3.044,0.026,,,5.0241,0.0132,0.0664,3.045,0.142,,
08:50.8,5.0242,0.0132,0.0664,2.916,0.009,,,5.0242,0.0132,0.0664,3.049,0.017,,
08:50.9,5.0242,0.0132,0.0664,0.742,0.011,,,5.0242,0.0132,0.0664,3.025,0.007,,
08:51.0,5.0242,0.0132,0.0664,3.043,0.016,0.0326,27.9,5.0242,0.0132,0.0664,2.972,0.006,,
08:51.1,5.0242,0.0132,0.0664,3.047,0.161,,,5.0241,0.0132,0.0664,3.044,0.016,,
08:51.2,5.0242,0.0132,0.0664,3.034,0.008,,,5.0242,0.0132,0.0664,3.037,0.008,,
08:51.3,5.0242,0.0132,0.0664,3.042,0.008,,,5.0241,0.0132,0.0664,3.046,0.025,,
08:51.4,5.0242,0.0132,0.0664,3.042,0.013,,,5.0242,0.0132,0.0664,3.06,0.008,,
08:51.5,5.0242,0.0132,0.0664,3.086,2.144,,,5.0242,0.0132,0.0664,3.029,0.007,0.0433,27
08:51.6,5.0242,0.0132,0.0665,3.025,0.005,,,5.0241,0.0132,0.0664,3.023,0.019,,
08:51.7,5.0242,0.0132,0.0665,3.066,0.009,,,5.0241,0.0132,0.0664,3.037,0.006,,
08:51.8,5.0242,0.0132,0.0664,3.045,0.012,,,5.0241,0.0132,0.0664,3.073,0.008,,
08:51.9,5.0242,0.0132,0.0665,3.044,0.007,,,5.0242,0.0132,0.0664,3.035,0.03,,
08:52.0,5.0242,0.0132,0.0664,2.583,0.008,0.0326,27.9,5.0242,0.0132,0.0664,3.02,0.003,,
08:52.1,5.0242,0.0132,0.0664,1.042,0.003,,,5.0242,0.0132,0.0664,2.98,0.007,,
08:52.2,5.0242,0.0132,0.0665,1.266,0.014,,,5.0241,0.0132,0.0664,3.049,0.013,,
08:52.3,5.0243,0.0132,0.0665,3.042,2.121,,,5.0242,0.0132,0.0665,1.198,0.007,,
08:52.4,5.0242,0.0132,0.0664,3.033,0.005,,,5.0242,0.0132,0.0664,3.038,0.003,,
08:52.5,5.0242,0.0132,0.0664,3.243,0.02,,,5.0242,0.0132,0.0664,3.028,0.048,0.0433,27.5
08:52.6,5.0242,0.0132,0.0664,3.041,2.647,,,5.0241,0.0132,0.0664,3.021,0.006,,
08:52.7,5.0242,0.0132,0.0664,3.018,0.008,,,5.0242,0.0132,0.0664,3.259,0.007,,
