time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:08.5,5.0029,0.1452,0.7263,2.476,0.015,,,5.0029,0.1457,0.7287,3.055,0.64,0.0364,27.5
00:08.6,5.0029,0.1451,0.726,3.132,0.044,,,5.0029,0.1456,0.7285,3.078,0.002,,
00:08.7,5.0029,0.1452,0.7262,1.344,0.002,,,5.0029,0.1456,0.7284,3.064,0.027,,
00:08.8,5.0029,0.1452,0.7263,3.054,0.005,,,5.0029,0.1456,0.7284,0.035,0.004,,
00:08.9,5.0029,0.1451,0.7261,0.855,0.01,,,5.0028,0.1455,0.728,3.064,0.02,,
00:08.0,5.0028,0.1452,0.7264,3.043,0.004,,,5.0028,0.1455,0.7278,3.058,0.019,,
00:09.1,5.0027,0.1451,0.7261,3.059,0.009,0.002,27.2,5.0029,0.1455,0.7279,3.048,0.015,,
00:09.2,5.0028,0.1451,0.726,3.051,0.022,,,5.0029,0.1455,0.7278,3.048,0.014,,
00:09.3,5.0029,0.1452,0.7263,3.051,0.003,,,5.0029,0.1454,0.7275,3.182,0.007,,
00:09.4,5.0029,0.1451,0.7262,3.069,0.005,,,5.0029,0.1454,0.7275,3.208,3.279,,
00:09.5,5.0029,0.1451,0.7262,3.001,0.188,,,5.0029,0.1454,0.7273,2.99,0.003,0.0366,26.9
00:09.6,5.0029,0.1452,0.7263,3.06,0.019,,,5.0029,0.1454,0.7273,3.047,0.008,,
00:09.7,5.0029,0.1451,0.7261,0.915,0.009,,,5.0029,0.1454,0.7274,1.92,0.007,,
00:09.8,5.0029,0.1451,0.726,3.061,0.019,,,5.0029,0.1454,0.7276,3.061,0.003,,
00:09.9,5.0029,0.1452,0.7264,3.068,0.006,,,5.0029,0.1455,0.7277,3.07,0.011,,
00:09.0,5.0029,0.1451,0.7261,3.056,0.003,,,5.0029,0.1455,0.728,3.041,0.003,,
00:10.1,5.0029,0.1451,0.7261,3.07,0.638,0.0022,27.1,5.003,0.1455,0.7278,3.209,0.019,,
00:10.2,5.0029,0.1452,0.7263,3.06,0.004,,,5.0028,0.1454,0.7276,3.058,0.037,,
00:10.3,5.0029,0.1451,0.7261,2.857,0.002,,,5.0029,0.1454,0.7274,2.483,0.003,,
00:10.4,5.0028,0.1451,0.726,3.067,0.002,,,5.0029,0.1454,0.7274,3.108,0.662,,
00:10.5,5.0029,0.1451,0.7261,3.052,1.695,,,5.0029,0.1454,0.7273,3.02,0.008,0.0369,27.3
00:10.6,5.0029,0.1452,0.7263,3.095,0.009,,,5.0021,0.1739,0.87,3.189,0.003,,
00:10.7,5.0029,0.1452,0.7264,2.619,0.011,,,5.0001,0.1764,0.882,3.111,0.018,,
00:10.8,5.0029,0.1452,0.7262,3.074,0.004,,,4.9991,0.1776,0.8879,2.472,0.009,,
00:10.9,5.0029,0.1452,0.7262,3.053,0.117,,,4.9986,0.1784,0.8918,2.641,0.006,,
00:10.0,5.0028,0.1451,0.7262,3.074,0.641,,,4.9982,0.1789,0.8939,3.065,0.026,,
00:11.1,5.0029,0.1451,0.7261,2.904,0.002,0.0024,27.7,4.9979,0.1791,0.8951,3.035,0.013,,
00:11.2,5.003,0.1451,0.7261,3.147,1.539,,,4.9995,0.1477,0.7387,0.039,1.504,,
00:11.3,5.0029,0.1451,0.7262,3.099,1.267,,,4.9998,0.1624,0.8118,0.76,0.003,,
00:11.4,5.0029,0.1452,0.7262,1.143,0.009,,,4.9998,0.163,0.8148,3.092,0.005,,
00:11.5,5.0029,0.1452,0.7263,3.073,2.323,,,4.9999,0.1634,0.8171,3.108,0.015,0.0371,27.5
00:11.6,5.0029,0.1451,0.7261,3.071,0.003,,,5,0.1636,0.8181,3.073,0.022,,
00:11.7,5.0029,0.1451,0.7261,3.054,0.303,,,5.0003,0.1637,0.8188,0.72,0.029,,
00:11.8,5.0029,0.1451,0.7261,3.053,0.003,,,5.0004,0.1638,0.8192,3.126,2.98,,
00:11.9,5.0029,0.1451,0.726,2.959,0.004,,,5.0004,0.1638,0.8192,3.053,0.002,,
00:11.0,5.0029,0.1452,0.7262,3.166,0.65,,,5.0004,0.1638,0.8192,3.055,0.002,,
00:12.1,5.003,0.1452,0.7262,3.03,0.002,0.0026,28,5.0004,0.1638,0.8191,3.098,0.009,,
00:12.2,5.003,0.1452,0.7263,1.394,0.003,,,5.0004,0.1638,0.8191,3.06,0.436,,
00:12.3,5.0029,0.1451,0.7261,2.574,0.022,,,5.0014,0.1602,0.8015,3.07,0.006,,
00:12.4,5.0029,0.1452,0.7262,3.085,0.004,,,5,0.1758,0.8789,3.068,0.012,,
00:12.5,5.0029,0.1451,0.726,3.287,0.483,,,4.999,0.1773,0.8865,3.272,0.002,0.0373,27.4
00:12.6,5.0029,0.1451,0.7261,3.075,3.241,,,4.9983,0.1783,0.8911,3.198,0.003,,
00:12.7,5.0029,0.1451,0.726,3.058,0.009,,,4.9979,0.1788,0.8934,3.053,0.01,,
00:12.8,5.0029,0.1452,0.7262,3.176,1.959,,,4.9978,0.1791,0.8951,3.053,0,,
00:12.9,5.0029,0.1452,0.7263,3.045,0.914,,,4.9978,0.1793,0.896,3.094,0.008,,
00:12.0,5.0029,0.1452,0.7262,2.278,0.009,,,4.999,0.1434,0.717,3.057,0.361,,
