"Location","measure_name","time","measure_value::double"
Tokyo,0002DO_1,2022-11-15 04:30:06,35.0
Tokyo,0002DO_1,2022-11-15 04:40:06,35.0
Tokyo,0002DO_1,2022-11-15 04:50:06,35.0
Tokyo,0002DO_1,2022-11-15 05:00:06,35.0
Tokyo,0002DO_1,2022-11-15 05:10:06,35.0
Tokyo,0002DO_1,2022-11-15 05:20:06,35.0
Tokyo,0002DO_1,2022-11-15 05:30:06,35.0
Tokyo,0002DO_1,2022-11-15 05:40:06,35.0
Tokyo,0002DO_1,2022-11-15 05:50:06,35.0
Tokyo,0002DO_1,2022-11-15 06:00:06,35.0
Tokyo,0002DO_1,2022-11-15 06:10:06,35.0
Tokyo,0002DO_1,2022-11-15 06:20:06,35.0
Tokyo,0002DO_1,2022-11-15 06:30:06,35.0
Tokyo,0002DO_1,2022-11-15 06:40:06,35.0
Tokyo,0002DO_1,2022-11-15 06:50:06,35.0
Tokyo,0002DO_1,2022-11-15 07:00:06,35.0
Tokyo,0002DO_1,2022-11-15 07:10:06,35.0
Tokyo,0002DO_1,2022-11-15 07:50:06,35.0
Tokyo,0002DO_1,2022-11-15 09:10:06,35.0
Tokyo,0002DO_1,2022-11-15 09:20:06,35.0
Tokyo,0002DO_1,2022-11-15 09:40:06,35.0
Tokyo,0002DO_1,2022-11-15 09:44:28,7.96
Tokyo,0002DO_1,2022-11-15 10:00:06,7.01
Tokyo,0002DO_1,2022-11-15 10:10:06,6.25
Tokyo,0002DO_1,2022-11-15 10:20:06,5.91
Tokyo,0002DO_1,2022-11-15 10:40:06,6.82
Tokyo,0002DO_1,2022-11-15 10:50:06,7.77
Tokyo,0002DO_1,2022-11-15 11:00:06,7.94
Tokyo,0002DO_1,2022-11-15 11:10:06,6.96
Tokyo,0002DO_1,2022-11-15 11:20:06,6.13
Tokyo,0002DO_1,2022-11-15 11:30:06,5.86
Tokyo,0002DO_1,2022-11-15 11:40:06,6.82
Tokyo,0002DO_1,2022-11-15 11:50:06,9.56
Tokyo,0002DO_1,2022-11-15 12:00:06,12.3
Tokyo,0002DO_1,2022-11-15 12:10:06,12.2
Tokyo,0002DO_1,2022-11-15 12:20:06,13.4
Tokyo,0002DO_1,2022-11-15 12:30:06,13.1
Tokyo,0002DO_1,2022-11-15 12:40:06,13.9
Tokyo,0002DO_1,2022-11-15 12:50:06,14.1
Tokyo,0002DO_1,2022-11-15 13:00:06,13.9
Tokyo,0002DO_1,2022-11-15 13:10:06,13.1
Tokyo,0002DO_1,2022-11-15 13:20:06,12.5
Tokyo,0002DO_1,2022-11-15 13:30:06,12.2
Tokyo,0002DO_1,2022-11-15 13:40:06,12.1
Tokyo,0002DO_1,2022-11-15 13:50:06,12.7
Tokyo,0002DO_1,2022-11-15 14:00:06,12.6
Tokyo,0002DO_1,2022-11-15 14:10:06,12.1
Tokyo,0002DO_1,2022-11-15 14:30:06,11.1
Tokyo,0002DO_1,2022-11-15 16:00:06,6.11
Tokyo,0002DO_1,2022-11-15 16:10:06,6.44
Tokyo,0002DO_1,2022-11-15 16:20:06,6.98
Tokyo,0002DO_1,2022-11-16 13:20:06,0
Tokyo,0002DO_1,2022-11-16 13:40:06,0
Tokyo,0002DO_1,2022-11-16 13:50:06,0
Tokyo,0002DO_1,2022-11-16 14:00:06,0
Tokyo,0002DO_1,2022-11-16 14:10:06,0
Tokyo,0002DO_1,2022-11-16 14:20:06,0
Tokyo,0002DO_1,2022-11-16 14:50:06,0
Tokyo,0002DO_1,2022-11-16 15:00:06,0
Tokyo,0002DO_1,2022-11-16 15:10:06,0
Tokyo,0002DO_1,2022-11-16 15:20:06,0
Tokyo,0002DO_1,2022-11-16 15:30:06,0
Tokyo,0002DO_1,2022-11-16 15:40:06,0
Tokyo,0002DO_1,2022-11-16 15:50:06,0
Tokyo,0002DO_1,2022-11-16 16:00:06,0
Tokyo,0002DO_1,2022-11-16 16:10:06,0
Tokyo,0002DO_1,2022-11-16 16:20:06,4.38
Tokyo,0002DO_1,2022-11-16 16:30:06,0
Tokyo,0002DO_1,2022-11-16 16:40:06,0
Tokyo,0002DO_1,2022-11-16 16:50:06,0
Tokyo,0002DO_1,2022-11-16 17:00:06,5.72
Tokyo,0002DO_1,2022-11-16 17:10:06,0
Tokyo,0002DO_1,2022-11-16 17:20:06,0
Tokyo,0002DO_1,2022-11-16 17:30:06,0
Tokyo,0002DO_1,2022-11-16 17:40:06,0
Tokyo,0002DO_1,2022-11-16 17:50:06,0
Tokyo,0002DO_1,2022-11-16 18:00:06,0
