2022-05-15 09:37:44,173 send data failed

2022-05-15 09:37:44,207 <-- send data info[panid = 0001, srcid = 7068, dstid = 7067, length = 03]
2022-05-15 10:06:46,869 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646555,N,139.78215666666668,E)

2022-05-15 10:06:50,429 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:06:50,467 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64659833333333,N,139.78213833333334,E)

2022-05-15 10:06:53,851 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:06:53,892 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64662333333333,N,139.78211166666668,E)

2022-05-15 10:06:56,744 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:06:56,779 RSSI(-90dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:00,160 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:00,195 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:03,588 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:03,622 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:07,234 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:07,267 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:10,629 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:10,663 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:14,088 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:14,121 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:17,769 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:17,804 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:21,313 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:21,348 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:24,780 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:24,815 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:28,210 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:28,245 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:31,629 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:31,664 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:35,064 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:35,099 RSSI(-78dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:38,501 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:38,536 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:41,921 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:41,955 RSSI(-78dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:45,381 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:45,416 RSSI(-90dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:48,837 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:48,872 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:52,245 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:52,279 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:55,875 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:55,909 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:07:59,312 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:07:59,345 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:08:02,818 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:08:02,853 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:08:06,239 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:08:06,273 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:08:09,885 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 17]

2022-05-15 10:08:09,924 RSSI(-77dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64639,N,139.782035,E)

2022-05-15 10:08:13,498 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 21]

2022-05-15 10:08:13,540 RSSI(-91dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646386666666665,N,139.782005,E)

2022-05-15 10:08:17,060 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:08:17,099 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64636333333333,N,139.78196333333332,E)

2022-05-15 10:08:20,488 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:20,533 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646366666666665,N,139.78198666666665,E)

2022-05-15 10:08:23,911 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:23,957 RSSI(-94dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646366666666665,N,139.78198666666665,E)

2022-05-15 10:08:27,315 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:27,359 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646366666666665,N,139.78198666666665,E)

2022-05-15 10:08:30,838 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:30,881 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646366666666665,N,139.78198666666665,E)

2022-05-15 10:08:34,254 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:34,297 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646366666666665,N,139.78198666666665,E)

2022-05-15 10:08:37,802 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:08:37,847 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646348333333336,N,139.78196166666666,E)

2022-05-15 10:08:41,046 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 21]

2022-05-15 10:08:41,086 RSSI(-87dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646341666666665,N,139.781955,E)

2022-05-15 10:08:44,689 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:08:44,732 RSSI(-94dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64633333333333,N,139.78192833333333,E)

2022-05-15 10:08:47,958 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:08:47,998 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64631833333333,N,139.78192,E)

2022-05-15 10:08:51,444 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:08:51,485 RSSI(-91dBm):PAN ID(0001):Src ID(7067):Receive Data(35.6463,N,139.78189666666665,E)

2022-05-15 10:08:54,869 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 20]

2022-05-15 10:08:54,912 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628166666667,N,139.781885,E)

2022-05-15 10:08:58,294 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:08:58,334 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64624833333333,N,139.78184,E)

2022-05-15 10:09:01,539 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 17]

2022-05-15 10:09:01,578 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64629,N,139.781895,E)

2022-05-15 10:09:05,152 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1E]

2022-05-15 10:09:05,194 RSSI(-97dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.7819,E)

2022-05-15 10:09:08,792 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:09:08,836 RSSI(-88dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.78189666666665,E)

2022-05-15 10:09:12,048 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 20]

2022-05-15 10:09:12,090 RSSI(-89dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.781895,E)

2022-05-15 10:09:15,497 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:09:15,539 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.78189,E)

2022-05-15 10:09:18,896 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:09:18,938 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.78189,E)

2022-05-15 10:09:22,338 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 1F]

2022-05-15 10:09:22,379 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64628833333333,N,139.78189,E)

2022-05-15 10:09:25,954 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:09:25,996 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64635833333333,N,139.78197666666668,E)

2022-05-15 10:09:29,394 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:09:29,438 RSSI(-86dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64635833333333,N,139.78197666666668,E)

2022-05-15 10:09:32,809 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:09:32,849 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64635833333333,N,139.78197666666668,E)

2022-05-15 10:09:36,343 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:09:36,387 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64635666666667,N,139.78195166666666,E)

2022-05-15 10:09:39,196 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:09:39,231 RSSI(-87dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:09:42,612 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:09:42,651 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:09:46,046 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 09]

2022-05-15 10:09:46,080 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(gpsnotfix)

2022-05-15 10:09:50,023 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 29]

2022-05-15 10:09:50,067 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.646251666666664,N,139.78187833333334,E)

2022-05-15 10:10:00,878 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:00,918 RSSI(-87dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:04,448 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:04,492 RSSI(-95dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:07,846 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:07,890 RSSI(-96dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:11,394 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:11,435 RSSI(-95dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:14,835 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:14,877 RSSI(-81dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:18,283 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:18,326 RSSI(-84dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:21,694 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:21,737 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:25,335 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:25,377 RSSI(-83dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:28,805 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:28,849 RSSI(-79dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:32,233 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:32,277 RSSI(-82dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

2022-05-15 10:10:35,674 --> receive data info[panid = 0001, srcid = 7067, dstid = 7068, length = 28]

2022-05-15 10:10:35,718 RSSI(-85dBm):PAN ID(0001):Src ID(7067):Receive Data(35.64604666666666,N,139.78147333333334,E)

